"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J69,J14,J21,J18,J7,J65,J4,J24,J27,J41,J13,J15,J45,J57,J61,J30,J49,J9,J33,J36,J5,J11,J53,J2,J71";"PinHeader_1x03_P2.54mm_Vertical";25;"Conn_01x03_Male_Pin";;;
2;"D65,D7,D77,D61,D69,D53,D1,D13,D19,D73,D31,D37,D43,D49,D25,D57";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";16;"White";;;
3;"J31,J56,J28,J44,J16,J34,J19,J40,J37,J25,J64,J68,J22,J48,J52,J60";"PinSocket_1x03_P2.54mm_Vertical";16;"Conn_01x03_Female_Pin";;;
4;"RV2,RV3,RV8,RV4,RV5,RV6,RV1,RV7";"Potentiometer_Alps_RK09K_Single_Vertical";8;"R_Potentiometer_MountingPin";;;
5;"D75,D67,D71,D3,D15,D59,D63,D21,D45,D55,D39,D27,D9,D51,D79,D33";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";16;"Yellow";;;
6;"D2,D32,D38,D8,D14,D26,D20,D44";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";8;"Blue";;;
7;"J42,J46,J17,J20,J32,J66,J62,J35,J23,J29,J58,J70,J38,J54,J50,J26";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";16;"AudioJack2_SwitchT";;;
8;"D58,D78,D66,D74,D62,D50,D70,D54";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";8;"Green";;;
9;"D18,D56,D24,D48,D36,D76,D64,D68,D80,D60,D30,D42,D72,D52,D6,D12";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";16;"Red";;;
10;"R116,R94,R138,R49,R17,R9,R25,R41,R1,R149,R33,R83,R127,R57,R72,R105";"R_0805_2012Metric";16;"1k";;;
11;"R22,R136,R114,R81,R30,R46,R125,R147,R62,R38,R70,R54,R103,R92,R14,R6";"R_0805_2012Metric";16;"270K";;;
12;"R121,R98,R100,R122,R111,R131,R88,R143,R110,R99,R133,R109,R78,R76,R67,R77,R66,R144,R132,R87,R89,R65,R142,R120";"R_0805_2012Metric";24;"10K";;;
13;"R31,R152,R97,R74,R53,R61,R141,R129,R21,R63,R45,R107,R140,R118,R7,R5,R39,R96,R55,R75,R85,R37,R108,R15,R23,R86,R119,R29,R130,R13,R151,R47";"R_0805_2012Metric";32;"128R";;;
14;"R18,R101,R2,R123,R50,R79,R26,R68,R145,R58,R90,R34,R134,R10,R42,R112";"R_0805_2012Metric";16;"47K";;;
15;"R117,R27,R73,R139,R11,R84,R19,R43,R128,R95,R59,R35,R150,R106,R3,R51";"R_0805_2012Metric";16;"68R";;;
16;"R4,R52,R12,R135,R20,R124,R80,R69,R28,R36,R146,R60,R44,R102,R113,R91";"R_0805_2012Metric";16;"390K";;;
17;"U11,U23,U13,U25,U19,U21,U15,U17";"SOT-23-6";8;"MCP4725xxx-xCH";;;
18;"U1";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CD4051B";;;
19;"D41,D29,D46,D4,D5,D10,D47,D28,D35,D16,D23,D17,D22,D34,D11,D40";"D_SOD-123";16;"1N4148";;;
20;"R16,R40,R93,R56,R148,R8,R64,R32,R126,R24,R137,R48,R71,R115,R82,R104";"R_0805_2012Metric";16;"100K";;;
21;"U4,U9,U7,U3,U5,U18,U20,U22,U10,U26,U24,U14,U8,U6,U12,U16";"SOIC-14_3.9x8.7mm_P1.27mm";16;"MCP6004";;;
22;"C14,C16,C12,C15,C10,C11,C9,C13";"C_0805_2012Metric";8;"1n";;;
23;"C8,C3,C4,C5,C7,C6,C1,C2";"CP_Radial_D5.0mm_P2.50mm";8;"100uF";;;
24;"J51,J72,J43,J55,J59,J63,J67,J39,J47";"PinHeader_1x02_P2.54mm_Vertical";9;"Conn_01x02_Pin";;;
25;"U2";"RPi_Pico_SMD_TH";1;"Pico";;;
