Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",CP_Radial_D5.0mm_P2.50mm,8,100uF,
"C10, C11, C12, C13, C14, C15, C16, C9",0805,8,1n,
"D1, D13, D19, D25, D31, D37, D43, D49, D53, D57, D61, D65, D69, D7, D73, D77",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,16,White,
"D10, D11, D16, D17, D22, D23, D28, D29, D34, D35, D4, D40, D41, D46, D47, D5",D_SOD-123,16,1N4148,
"D12, D18, D24, D30, D36, D42, D48, D52, D56, D6, D60, D64, D68, D72, D76, D80",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,16,Red,
"D14, D2, D20, D26, D32, D38, D44, D8",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,8,Blue,
"D15, D21, D27, D3, D33, D39, D45, D51, D55, D59, D63, D67, D71, D75, D79, D9",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,16,Yellow,
"D50, D54, D58, D62, D66, D70, D74, D78",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,8,Green,
"J15, J18, J21, J24, J27, J30, J33, J36, J41, J45, J49, J53, J57, J61, J65, J69",PinHeader_1x03_P2.54mm_Vertical,16,Conn_01x03_Male_Pin,
"J16, J19, J22, J25, J28, J31, J34, J37, J40, J44, J48, J52, J56, J60, J64, J68",PinSocket_1x03_P2.54mm_Vertical,16,Conn_01x03_Female_Pin,
"J17, J20, J23, J26, J29, J32, J35, J38, J42, J46, J50, J54, J58, J62, J66, J70",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,16,AudioJack2_SwitchT,
"J39, J43, J47, J51, J55, J59, J63, J67",PinHeader_1x02_P2.54mm_Vertical,8,Conn_01x02_Pin,
"R1, R105, R116, R127, R138, R149, R17, R25, R33, R41, R49, R57, R72, R83, R9, R94",0805,16,1k,
"R10, R101, R112, R123, R134, R145, R18, R2, R26, R34, R42, R50, R58, R68, R79, R90",0805,16,47K,
"R100, R109, R110, R111, R120, R121, R122, R131, R132, R133, R142, R143, R144, R65, R66, R67, R76, R77, R78, R87, R88, R89, R98, R99",0805,24,10K,
"R102, R113, R12, R124, R135, R146, R20, R28, R36, R4, R44, R52, R60, R69, R80, R91",0805,16,390K,
"R103, R114, R125, R136, R14, R147, R22, R30, R38, R46, R54, R6, R62, R70, R81, R92",0805,16,270K,
"R104, R115, R126, R137, R148, R16, R24, R32, R40, R48, R56, R64, R71, R8, R82, R93",0805,16,100K,
"R106, R11, R117, R128, R139, R150, R19, R27, R3, R35, R43, R51, R59, R73, R84, R95",0805,16,68R,
"R107, R108, R118, R119, R129, R13, R130, R140, R141, R15, R151, R152, R21, R23, R29, R31, R37, R39, R45, R47, R5, R53, R55, R61, R63, R7, R74, R75, R85, R86, R96, R97",0805,32,128R,
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",Potentiometer_Alps_RK09K_Single_Vertical,8,R_Potentiometer_MountingPin,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4051B,
"U10, U12, U14, U16, U18, U20, U22, U24, U26, U3, U4, U5, U6, U7, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,16,MCP6004,
