Ref,Val,Package,PosX,PosY,Rot,Side
"C9","1n","C_0805_2012Metric",39.529000,-26.410000,90.000000,bottom
"C10","1n","C_0805_2012Metric",67.186000,-26.410000,90.000000,bottom
"C11","1n","C_0805_2012Metric",94.843000,-26.410000,90.000000,bottom
"C12","1n","C_0805_2012Metric",122.500000,-26.410000,90.000000,bottom
"C13","1n","C_0805_2012Metric",150.157000,-26.410000,90.000000,bottom
"C14","1n","C_0805_2012Metric",177.814000,-26.410000,90.000000,bottom
"C15","1n","C_0805_2012Metric",205.471000,-26.410000,90.000000,bottom
"C16","1n","C_0805_2012Metric",233.128000,-26.410000,90.000000,bottom
"D4","1N4148","D_SOD-123",38.529000,-32.984300,-90.000000,bottom
"D5","1N4148","D_SOD-123",42.079000,-32.984300,-90.000000,bottom
"D10","1N4148","D_SOD-123",66.186000,-32.984300,-90.000000,bottom
"D11","1N4148","D_SOD-123",69.736000,-32.984300,-90.000000,bottom
"D16","1N4148","D_SOD-123",97.314000,-32.984300,-90.000000,bottom
"D17","1N4148","D_SOD-123",93.843000,-32.984300,-90.000000,bottom
"D22","1N4148","D_SOD-123",121.500000,-32.984300,-90.000000,bottom
"D23","1N4148","D_SOD-123",125.050000,-32.984300,-90.000000,bottom
"D28","1N4148","D_SOD-123",149.157000,-32.984300,-90.000000,bottom
"D29","1N4148","D_SOD-123",152.707000,-32.984300,-90.000000,bottom
"D34","1N4148","D_SOD-123",176.814000,-32.984300,-90.000000,bottom
"D35","1N4148","D_SOD-123",180.364000,-32.984300,-90.000000,bottom
"D40","1N4148","D_SOD-123",204.471000,-32.984300,-90.000000,bottom
"D41","1N4148","D_SOD-123",208.021000,-32.984300,-90.000000,bottom
"D46","1N4148","D_SOD-123",232.128000,-32.984300,-90.000000,bottom
"D47","1N4148","D_SOD-123",235.678000,-32.984300,-90.000000,bottom
"R1","1k","R_0805_2012Metric",27.484000,-54.910000,0.000000,bottom
"R2","47K","R_0805_2012Metric",27.489000,-57.910000,0.000000,bottom
"R3","68R","R_0805_2012Metric",27.489000,-60.910000,0.000000,bottom
"R4","390K","R_0805_2012Metric",20.029000,-47.900000,-90.000000,bottom
