Ref,Val,Package,PosX,PosY,Rot,Side
"D2","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",23.000000,-60.760000,180.000000,top
"D3","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",23.000000,-57.410000,180.000000,top
"D6","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",23.000000,-54.060000,180.000000,top
"D8","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",50.657000,-60.760000,180.000000,top
"D9","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",50.657000,-57.410000,180.000000,top
"D12","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",50.657000,-54.060000,180.000000,top
"D14","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",78.314000,-60.760000,180.000000,top
"D15","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",78.314000,-57.410000,180.000000,top
"D18","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",78.314000,-54.060000,180.000000,top
"D20","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",105.971000,-60.760000,180.000000,top
"D21","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",105.971000,-57.410000,180.000000,top
"D24","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",105.971000,-54.060000,180.000000,top
"D26","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",133.628000,-60.760000,180.000000,top
"D27","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",133.628000,-57.410000,180.000000,top
"D30","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",133.628000,-54.060000,180.000000,top
"D32","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",161.285000,-60.760000,180.000000,top
"D33","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",161.285000,-57.410000,180.000000,top
"D36","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",161.285000,-54.060000,180.000000,top
"D38","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",188.942000,-60.760000,180.000000,top
"D39","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",188.942000,-57.410000,180.000000,top
"D42","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",188.942000,-54.060000,180.000000,top
"D44","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",216.599000,-60.760000,180.000000,top
"D45","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",216.599000,-57.410000,180.000000,top
"D48","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",216.599000,-54.060000,180.000000,top
"D50","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",23.000000,-106.700000,180.000000,top
"D51","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",23.000000,-103.350000,180.000000,top
"D52","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",23.000000,-100.000000,180.000000,top
"D54","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",48.250000,-106.700000,180.000000,top
"D55","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",48.250000,-103.350000,180.000000,top
"D56","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",48.250000,-100.000000,180.000000,top
"D58","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",73.500000,-106.700000,180.000000,top
"D59","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",73.500000,-103.350000,180.000000,top
"D60","Red","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",73.500000,-100.000000,180.000000,top
"D62","White","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",98.750000,-106.700000,180.000000,top
"D63","Yellow","LED_SideEmitter_Rectangular_W4.5mm_H1.6mm",98.750000,-103.350000,180.000000,top
