"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U12,U4,U3,U18,U14,U16,U22,U8,U26,U24,U10,U6,U9,U7,U5,U20";"SOIC-14_3.9x8.7mm_P1.27mm";16;"MCP6004T-E/SL ";;;
2;"U2";"RPi_Pico_SMD_TH";1;"Pico";;;
3;"D14,D50,D74,D78,D20,D62,D32,D26,D58,D44,D70,D8,D38,D66,D2,D54";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";16;"White";;;
4;"C11,C14,C15,C16,C10,C9,C13,C12";"C_0805_2012Metric";8;"1n";;;
5;"R126,R104,R137,R82,R71,R115,R93,R148";"R_0805_2012Metric";8;"150k";;;
6;"J39,J59,J72,J67,J51,J63,J47,J43,J55";"PinHeader_1x02_P2.54mm_Vertical";9;"Conn_01x02_Pin";;;
7;"R113,R80,R20,R52,R124,R91,R28,R44,R69,R36,R146,R60,R102,R135,R4,R12";"R_0805_2012Metric";16;"300k";;;
8;"R123,R149,R145,R127,R134,R116,R112,R138";"R_0805_2012Metric";8;"200k";;;
9;"C7,C2,C3,C4,C6,C1,C5,C8";"CP_Radial_D5.0mm_P2.50mm";8;"100uF";;;
10;"J7,J13,J30,J18,J15,J36,J27,J4,J24,J71,J2,J9,J14,J21,J5,J11,J33";"PinHeader_1x03_P2.54mm_Vertical";17;"Conn_01x03_Male_Pin";;;
11;"R98,R87,R111,R100,R109,R78,R76,R67,R133,R144,R89,R65,R142,R120,R122,R131";"R_0805_2012Metric";16;"10K";;;
12;"R128,R43,R11,R19,R73,R68,R72,R139,R94,R95,R90,R59,R150,R106,R3,R35,R83,R105,R51,R101,R117,R79,R27,R84";"R_0805_2012Metric";24;"1K";;;
13;"R130,R97,R96,R140,R151,R118,R75,R108,R86,R119,R85,R107,R152,R74,R141,R129";"R_0805_2012Metric";16;"127R";;;
14;"R103,R92,R136,R70,R114,R81,R125,R147";"R_0805_2012Metric";8;"110k";;;
15;"J62,J32,J35,J54,J58,J20,J26,J46,J17,J23,J29,J42,J38,J70,J66,J50";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";16;"AudioJack2_SwitchT";;;
16;"R132,R66,R88,R121,R77,R110,R143,R99";"R_0805_2012Metric";8;"100K";;;
17;"R54,R38,R62,R22,R14,R6,R30,R46";"R_0805_2012Metric";8;"110K";;;
18;"D52,D80,D42,D48,D64,D18,D12,D72,D68,D24,D60,D30,D36,D76,D56,D6";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";16;"Red";;;
19;"D51,D79,D59,D63,D75,D67,D3,D45,D21,D39,D71,D55,D27,D9,D15,D33";"LED_SideEmitter_Rectangular_W4.5mm_H1.6mm";16;"Yellow";;;
20;"J68,J44,J52,J40,J56,J48,J64,J60";"PinSocket_1x03_P2.54mm_Vertical";8;"Conn_01x03_Female_Pin";;;
21;"D29,D11,D47,D28,D5,D17,D22,D16,D23,D35,D10,D34,D40,D46,D4,D41";"D_SOD-123";16;"1N4148";;;
22;"R157,R155,R156,R159,R158,R153,R154,R168";"R_0805_2012Metric";8;"100k";;;
23;"U17,U21,U25,U13";"SOT-23-6";4;"MCP4725A1T-E/CH ";;;
24;"R24,R32,R8,R64,R48,R56,R16,R40";"R_0805_2012Metric";8;"150K";;;
25;"RV7,RV2,RV4,RV5,RV8,RV3,RV1,RV6";"Potentiometer_Alps_RK09K_Single_Vertical";8;"R_Potentiometer_MountingPin";;;
26;"R53,R39,R63,R15,R29,R31,R37,R23,R55,R13,R47,R7,R5,R61,R21,R45";"R_0805_2012Metric";16;"128R";;;
27;"U15,U19,U23";"SOT-23-6";3;"MCP4725A0T-E/CH ";;;
28;"U11";"SOT-23-6";1;"MCP4725A0T-E/CH";;;
29;"U1";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CD4051BM96 ";;;
