Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C20, C21, C22, C23, C24",CP_Elec_10x10.5,8,1mF,
"C10, C11, C12, C13, C14, C15, C16, C9",0805,8,1n,
"D1, D53, D57, D61, D65, D69, D73, D77",D_SOD-123,8,~,
"D10, D11, D16, D17, D22, D23, D28, D29, D34, D35, D4, D40, D41, D46, D47, D5",D_SOD-123,16,1N4148,
"D12, D18, D24, D30, D36, D42, D48, D52, D56, D6, D60, D64, D68, D72, D76, D80",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,16,Red,
"D14, D2, D20, D26, D32, D38, D44, D50, D54, D58, D62, D66, D70, D74, D78, D8",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,16,White,
"D15, D21, D27, D3, D33, D39, D45, D51, D55, D59, D63, D67, D71, D75, D79, D9",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,16,Yellow,
"J1, J10, J12, J15, J18, J3, J6, J8",PinHeader_1x03_P2.54mm_Vertical,8,Conn_01x03_Male_Pin,
"J16, J19, J22, J25, J28, J31, J34, J37, J40, J44, J48, J52, J56, J60, J64, J68",PinSocket_1x03_P2.54mm_Vertical,16,Conn_01x03_Female_Pin,
"J17, J20, J23, J26, J29, J32, J35, J38, J42, J46, J50, J54, J58, J62, J66, J70",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,16,AudioJack2_SwitchT,
"R1, R10, R2, R9",0805,4,R33k,
"R101, R105, R153, R154, R155, R156, R157, R158, R159, R168, R68, R72, R79, R83, R90, R94",0805,16,100K,
"R102, R113, R12, R124, R135, R146, R20, R28, R36, R4, R44, R52, R60, R69, R80, R91",0805,16,300k,
"R103, R114, R125, R136, R14, R147, R22, R30, R38, R46, R54, R6, R62, R70, R81, R92",0805,16,110k,
"R104, R115, R126, R137, R148, R16, R24, R32, R40, R48, R56, R64, R71, R8, R82, R93",0805,16,150k,
"R106, R11, R117, R128, R139, R150, R19, R27, R3, R35, R43, R51, R59, R73, R84, R95",0805,16,1K,
"R107, R108, R118, R119, R129, R13, R130, R140, R141, R15, R151, R152, R21, R23, R29, R31, R37, R39, R45, R47, R5, R53, R55, R61, R63, R7, R74, R75, R85, R86, R96, R97",0805,32,127R,
"R112, R116, R123, R127, R134, R138, R145, R149, R160, R161, R162, R163, R164, R165, R166, R167",0805,16,200k,
"R17, R18, R25, R26, R33, R34, R41, R42",0805,8,100R,
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",Potentiometer_Alps_RK09K_Single_Vertical,8,R_Potentiometer_MountingPin,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4051B,C21379
"U10, U12, U14, U16, U18, U20, U22, U24, U3, U4, U5, U6, U7, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,15,MCP6004,C116668
"U11, U13, U19, U21",SOT-23-6,4,MCP4725xxx-xCH,C144198
"U15, U17, U23, U25",SOT-23-6,4,MCP4725xxx-xCH,C61423
U26,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP6004,C116668 
