Designator,Mid X,Mid Y,Rotation,Layer
C1,106.547,-70.457,270.0,bottom
C10,72.919,-81.08015,90.0,bottom
C11,101.944857,-81.08015,90.0,bottom
C12,130.970714,-81.08015,90.0,bottom
C13,159.996572,-81.08015,90.0,bottom
C14,189.022429,-81.08015,90.0,bottom
C15,218.048286,-81.08015,90.0,bottom
C16,247.324143,-81.08015,90.0,bottom
C18,95.547,-70.457,270.0,bottom
C19,78.547,-70.457,270.0,bottom
C20,67.547,-70.457,270.0,bottom
C21,56.547,-70.457,270.0,bottom
C22,45.547,-70.457,270.0,bottom
C23,34.547,-70.457,270.0,bottom
C24,23.547,-70.457,270.0,bottom
C9,43.893143,-81.17015,90.0,bottom
D1,22.0,-25.41,90.0,bottom
D10,69.448,-86.20445,270.0,bottom
D11,72.998,-86.20445,270.0,bottom
D12,53.178,-111.00445,180.0,top
D14,82.203857,-117.70445,180.0,top
D15,82.203857,-114.35445,180.0,top
D16,98.473857,-86.20445,270.0,bottom
D17,102.023857,-86.20445,270.0,bottom
D18,82.203857,-111.00445,180.0,top
D2,24.152143,-117.79445,180.0,top
D20,111.229714,-117.70445,180.0,top
D21,111.229714,-114.35445,180.0,top
D22,127.499714,-86.20445,270.0,bottom
D23,131.049714,-86.20445,270.0,bottom
D24,111.229714,-111.00445,180.0,top
D26,140.255572,-117.70445,180.0,top
D27,140.255572,-114.35445,180.0,top
D28,156.525572,-86.20445,270.0,bottom
D29,160.075572,-86.20445,270.0,bottom
D3,24.152143,-114.44445,180.0,top
D30,140.255572,-111.00445,180.0,top
D32,169.281429,-117.70445,180.0,top
D33,169.281429,-114.35445,180.0,top
D34,185.551429,-86.20445,270.0,bottom
D35,189.101429,-86.20445,270.0,bottom
D36,169.281429,-111.00445,180.0,top
D38,198.307286,-117.70445,180.0,top
D39,198.307286,-114.35445,180.0,top
D4,40.422143,-86.29445,270.0,bottom
D40,214.577286,-86.20445,270.0,bottom
D41,218.127286,-86.20445,270.0,bottom
D42,198.307286,-111.00445,180.0,top
D44,227.583143,-117.70445,180.0,top
D45,227.583143,-114.35445,180.0,top
D46,243.853143,-86.20445,270.0,bottom
D47,247.403143,-86.20445,270.0,bottom
D48,227.583143,-111.00445,180.0,top
D5,43.972143,-86.29445,270.0,bottom
